|0000|2023|11111111000191|Sample Company Ltda|0|0|42000|1012021|01012021|31122021|31122021|S||||
|0001|1|
|0990|3|
|E001|1|
|E990|2|
|J001|1|
|J990|2|
|K001|1|
|K990|2|
|L001|0|
|L030|01012021|31122021|T02|
|L100|2023-07-01|2023-07-31|VENDA|123456789|1200.00|100|1100|54321|12|987654321|42|D|
|L100|2023-07-01|2023-07-31|SERVICO|987654321|500.00|50|450|12345|5|123456789|42|D|
|L990|5|
|M001|1|
|M990|2|
|N001|1|
|N990|2|
|P001|1|
|P990|2|
|Q001|1|
|Q990|2|
|T001|1|
|T990|2|
|U001|1|
|U990|2|
|V001|1|
|V990|2|
|W001|1|
|W990|2|
|X001|1|
|X990|2|
|Y001|1|
|Y990|2|
|9001|0|
|9900|0000|1|
|9900|0001|1|
|9900|0990|1|
|9900|E001|1|
|9900|E990|1|
|9900|J001|1|
|9900|J990|1|
|9900|K001|1|
|9900|K990|1|
|9900|L001|1|
|9900|L030|1|
|9900|L100|2|
|9900|L990|1|
|9900|M001|1|
|9900|M990|1|
|9900|N001|1|
|9900|N990|1|
|9900|P001|1|
|9900|P990|1|
|9900|Q001|1|
|9900|Q990|1|
|9900|T001|1|
|9900|T990|1|
|9900|U001|1|
|9900|U990|1|
|9900|V001|1|
|9900|V990|1|
|9900|W001|1|
|9900|W990|1|
|9900|X001|1|
|9900|X990|1|
|9900|Y001|1|
|9900|Y990|1|
|9900|9001|1|
|9900|9900|37|
|9900|9990|1|
|9900|9999|1|
|9990|40|
|9999|74|
