"id","name",,"ibge_code","state_id:id"
"city_1100015","Alta Floresta D'Oeste",,"00015","br_ro"
"city_1100106","Guajará-Mirim",,"00106","br_ro"
"city_1301704","Humaitá",,"01704","br_am"
"city_2308302","Milagres",,"08302","br_ce"
"city_2308351","Milhã",,"08351","br_ce"
"city_2308377","Miraíma",,"08377","br_ce"
"city_2308401","Missão Velha",,"08401","br_ce"
"city_2308500","Mombaça",,"08500","br_ce"
"city_2308609","Monsenhor Tabosa",,"08609","br_ce"
"city_2308708","Morada Nova",,"08708","br_ce"
"city_2308807","Moraújo",,"08807","br_ce"
"city_2308906","Morrinhos",,"08906","br_ce"
"city_2309003","Mucambo",,"09003","br_ce"
"city_1301803","Ipixuna",,"01803","br_am"
"city_2309102","Mulungu",,"09102","br_ce"
"city_2309201","Nova Olinda",,"09201","br_ce"
"city_2309300","Nova Russas",,"09300","br_ce"
"city_2309409","Novo Oriente",,"09409","br_ce"
"city_2309458","Ocara",,"09458","br_ce"
"city_2309508","Orós",,"09508","br_ce"
"city_2309607","Pacajus",,"09607","br_ce"
"city_2309706","Pacatuba",,"09706","br_ce"
"city_2309805","Pacoti",,"09805","br_ce"
"city_2309904","Pacujá",,"09904","br_ce"
"city_1301852","Iranduba",,"01852","br_am"
"city_2310001","Palhano",,"10001","br_ce"
"city_2310100","Palmácia",,"10100","br_ce"
"city_2310209","Paracuru",,"10209","br_ce"
"city_2310258","Paraipaba",,"10258","br_ce"
"city_2310308","Parambu",,"10308","br_ce"
"city_2310407","Paramoti",,"10407","br_ce"
"city_2310506","Pedra Branca",,"10506","br_ce"
"city_2310605","Penaforte",,"10605","br_ce"
"city_2310704","Pentecoste",,"10704","br_ce"
"city_2310803","Pereiro",,"10803","br_ce"
"city_1301902","Itacoatiara",,"01902","br_am"
"city_2310852","Pindoretama",,"10852","br_ce"
"city_2310902","Piquet Carneiro",,"10902","br_ce"
"city_2310951","Pires Ferreira",,"10951","br_ce"
"city_2311009","Poranga",,"11009","br_ce"
"city_2311108","Porteiras",,"11108","br_ce"
"city_2311207","Potengi",,"11207","br_ce"
"city_2311231","Potiretama",,"11231","br_ce"
"city_2311264","Quiterianópolis",,"11264","br_ce"
"city_2311306","Quixadá",,"11306","br_ce"
"city_2311355","Quixelô",,"11355","br_ce"
"city_1301951","Itamarati",,"01951","br_am"
"city_2311405","Quixeramobim",,"11405","br_ce"
"city_2311504","Quixeré",,"11504","br_ce"
"city_2311603","Redenção",,"11603","br_ce"
"city_2311702","Reriutaba",,"11702","br_ce"
"city_2311801","Russas",,"11801","br_ce"
"city_2311900","Saboeiro",,"11900","br_ce"
"city_2311959","Salitre",,"11959","br_ce"
"city_2312007","Santana do Acaraú",,"12007","br_ce"
"city_2312106","Santana do Cariri",,"12106","br_ce"
"city_2312205","Santa Quitéria",,"12205","br_ce"
"city_1302009","Itapiranga",,"02009","br_am"
"city_2312304","São Benedito",,"12304","br_ce"
"city_2312403","São Gonçalo do Amarante",,"12403","br_ce"
"city_2312502","São João do Jaguaribe",,"12502","br_ce"
"city_2312601","São Luís do Curu",,"12601","br_ce"
"city_2312700","Senador Pompeu",,"12700","br_ce"
