"id","code","name","small_name","description","type","parent_id:id","internal_type","id_dest"
"cfop_1000","1000","ENTRADAS OU AQUISIÇÕES DE SERVIÇOS DO ESTADO","ENTRADAS OU AQUISIÇÕES DE SERVIÇOS DO ESTADO","Classificam-se, neste grupo, as operações ou prestações em que o estabelecimento remetente esteja localizado na mesma unidade da Federação do destinatário","input",,"view",1
"cfop_1100","1100","COMPRAS PARA INDUSTRIALIZAÇÃO, PRODUÇÃO RURAL, COMERCIALIZAÇÃO OU PRESTAÇÃO DE SERVIÇOS","COMPRAS PARA INDUSTRIALIZAÇÃO, PRODUÇÃO RURAL, COMERCIALIZAÇ",,"input","cfop_1000","view",1
"cfop_1101","1101","Compra para industrialização ou produção rural","Compra para industrialização ou produção rural","Classificam-se neste código as compras de mercadorias a serem utilizadas em processo de industrialização ou produção rural. Também serão classificadas neste código as entradas de mercadorias em estabelecimento industrial ou produtor rural de cooperativa recebidas de seus cooperados ou de estabelecimento de outra cooperativa.","input","cfop_1100","normal",1
"cfop_1102","1102","Compra para comercialização","Compra para comercialização","Classificam-se neste código as compras de mercadorias a serem comercializadas. Também serão classificadas neste código as entradas de mercadorias em estabelecimento comercial de cooperativa recebidas de seus cooperados ou de estabelecimento de outra cooperativa.","input","cfop_1100","normal",1
"cfop_1111","1111","Compra para industrialização de mercadoria recebida anteriormente em consignação industrial","Compra para industrialização de mercadoria recebida anterior","Classificam-se neste código as compras efetivas de mercadorias a serem utilizadas em processo de industrialização, recebidas anteriormente a título de consignação industrial.","input","cfop_1100","normal",1
"cfop_1113","1113","Compra para comercialização, de mercadoria recebida anteriormente em consignação mercantil","Compra para comercialização, de mercadoria recebida anterior","Classificam-se neste código as compras efetivas de mercadorias recebidas anteriormente a título de consignação mercantil","input","cfop_1100","normal",1
"cfop_1116","1116","Compra para industrialização originada de encomenda para recebimento futuro","Compra para industrialização originada de encomenda para rec","Classificam-se neste código as compras de mercadorias a serem utilizadas em processo de industrialização ou produção rural, quando da entrada real da mercadoria, cuja aquisição tenha sido classificada no código 1.922  Lançamento efetuado a título de simples faturamento decorrente de compra para recebimento futuro.","input","cfop_1100","normal",1
"cfop_1117","1117","Compra para comercialização originada de encomenda para recebimento futuro","Compra para comercialização originada de encomenda para rece","Classificam-se neste código as compras de mercadorias a serem comercializadas, quando da entrada real da mercadoria, cuja aquisição tenha sido classificada no código 1.922 - Lançamento efetuado a título de simples faturamento decorrente de compra para recebimento futuro.","input","cfop_1100","normal",1
"cfop_1118","1118","Compra de mercadoria para comercialização pelo adquirente originário, entregue pelo vendedor remetente ao destinatário, em venda à ordem","Compra de mercadoria para comercialização pelo adquirente or","Classificam-se neste código as compras de mercadorias já comercializadas, que, sem transitar pelo estabelecimento do adquirente originário, sejam entregues pelo vendedor remetente diretamente ao destinatário, em operação de venda à ordem, cuja venda seja classificada, pelo adquirente originário, no código 5.120 - Venda de mercadoria adquirida ou recebida de terceiros entregue ao destinatário pelo vendedor remetente, em venda à ordem","input","cfop_1100","normal",1
"cfop_1120","1120","Compra para industrialização, em venda à ordem, já recebida do vendedor remetente","Compra para industrialização, em venda à ordem, já recebida ","Classificam-se neste código as compras de mercadorias a serem utilizadas em processo de industrialização, em vendas à ordem, já recebidas do vendedor remetente, por ordem do adquirente originário.","input","cfop_1100","normal",1
"cfop_1121","1121","Compra para comercialização, em venda à ordem, já recebida do vendedor remetente","Compra para comercialização, em venda à ordem, já recebida d","Classificam-se neste código as compras de mercadorias a serem comercializadas, em vendas à ordem, já recebidas do vendedor remetente por ordem do adquirente originário.","input","cfop_1100","normal",1
"cfop_1122","1122","Compra para industrialização em que a mercadoria foi remetida pelo fornecedor ao industrializador sem transitar pelo estabelecimento adquirente","Compra para industrialização em que a mercadoria foi remetid","Classificam-se neste código as compras de mercadorias a serem utilizadas em processo de industrialização, remetidas pelo fornecedor para o industrializador sem que a mercadoria tenha transitado pelo estabelecimento do adquirente.","input","cfop_1100","normal",1
"cfop_1124","1124","Industrialização efetuada por outra empresa","Industrialização efetuada por outra empresa","Classificam-se neste código as entradas de mercadorias industrializadas por terceiros, compreendendo os valores referentes aos serviços prestados e os das mercadorias de propriedade do industrializador empregadas no processo industrial. Quando a industrialização efetuada se referir a bens do ativo imobilizado ou de mercadorias para uso ou consumo do estabelecimento encomendante, a entrada deverá ser classificada nos códigos 1.551 - Compra de bem para o ativo imobilizado ou 1.556 - Compra de material para uso ou consumo.","input","cfop_1100","normal",1
"cfop_1125","1125","Industrialização efetuada por outra empresa quando a mercadoria remetida para utilização no processo de industrialização não transitou pelo estabelecimento adquirente da mercadoria","Industrialização efetuada por outra empresa quando a mercado","Classificam-se neste código as entradas de mercadorias industrializadas por outras empresas, em que as mercadorias remetidas para utilização no processo de industrialização não transitaram pelo estabelecimento do adquirente das mercadorias, compreendendo os valores referentes aos serviços prestados e os das mercadorias de propriedade do industrializador empregadas no processo industrial. Quando a industrialização efetuada se referir a bens do ativo imobilizado ou de mercadorias para uso ou consumo do estabelecimento encomendante, a entrada deverá ser classificada nos códigos 1.551 - Compra de bem para o ativo imobilizado ou 1.556 - Compra de material para uso ou consumo.","input","cfop_1100","normal",1
"cfop_1126","1126","Compra para utilização na prestação de serviço","Compra para utilização na prestação de serviço","Classificam-se neste código as entradas de mercadorias a serem utilizadas nas prestações de serviços.","input","cfop_1100","normal",1
