"id","code","name","small_name","description","type","parent_id:id","internal_type"
"cfop_1","1000","ENTRADAS OU AQUISIÇÕES DE SERVIÇOS DO ESTADO","ENTRADAS OU AQUISIÇÕES DE SERVIÇOS DO ESTADO","Classificam-se, neste grupo, as operações ou prestações em que o estabelecimento remetente esteja localizado na mesma unidade da Federação do destinatário","input",,"view"
"cfop_2","1100","COMPRAS PARA INDUSTRIALIZAÇÃO, PRODUÇÃO RURAL, COMERCIALIZAÇÃO OU PRESTAÇÃO DE SERVIÇOS","COMPRAS PARA INDUSTRIALIZAÇÃO, PRODUÇÃO RURAL, COMERCIALIZAÇ",,"input","cfop_1","view"
"cfop_3","1101","Compra para industrialização ou produção rural","Compra para industrialização ou produção rural","Classificam-se neste código as compras de mercadorias a serem utilizadas em processo de industrialização ou produção rural. Também serão classificadas neste código as entradas de mercadorias em estabelecimento industrial ou produtor rural de cooperativa recebidas de seus cooperados ou de estabelecimento de outra cooperativa.","input","cfop_2","normal"
"cfop_4","1102","Compra para comercialização","Compra para comercialização","Classificam-se neste código as compras de mercadorias a serem comercializadas. Também serão classificadas neste código as entradas de mercadorias em estabelecimento comercial de cooperativa recebidas de seus cooperados ou de estabelecimento de outra cooperativa.","input","cfop_2","normal"
"cfop_5","1111","Compra para industrialização de mercadoria recebida anteriormente em consignação industrial","Compra para industrialização de mercadoria recebida anterior","Classificam-se neste código as compras efetivas de mercadorias a serem utilizadas em processo de industrialização, recebidas anteriormente a título de consignação industrial.","input","cfop_2","normal"
"cfop_6","1113","Compra para comercialização, de mercadoria recebida anteriormente em consignação mercantil","Compra para comercialização, de mercadoria recebida anterior","Classificam-se neste código as compras efetivas de mercadorias recebidas anteriormente a título de consignação mercantil","input","cfop_2","normal"
"cfop_7","1116","Compra para industrialização originada de encomenda para recebimento futuro","Compra para industrialização originada de encomenda para rec","Classificam-se neste código as compras de mercadorias a serem utilizadas em processo de industrialização ou produção rural, quando da entrada real da mercadoria, cuja aquisição tenha sido classificada no código 1.922  Lançamento efetuado a título de simples faturamento decorrente de compra para recebimento futuro.","input","cfop_2","normal"
"cfop_8","1117","Compra para comercialização originada de encomenda para recebimento futuro","Compra para comercialização originada de encomenda para rece","Classificam-se neste código as compras de mercadorias a serem comercializadas, quando da entrada real da mercadoria, cuja aquisição tenha sido classificada no código 1.922 - Lançamento efetuado a título de simples faturamento decorrente de compra para recebimento futuro.","input","cfop_2","normal"
"cfop_9","1118","Compra de mercadoria para comercialização pelo adquirente originário, entregue pelo vendedor remetente ao destinatário, em venda à ordem","Compra de mercadoria para comercialização pelo adquirente or","Classificam-se neste código as compras de mercadorias já comercializadas, que, sem transitar pelo estabelecimento do adquirente originário, sejam entregues pelo vendedor remetente diretamente ao destinatário, em operação de venda à ordem, cuja venda seja classificada, pelo adquirente originário, no código 5.120 - Venda de mercadoria adquirida ou recebida de terceiros entregue ao destinatário pelo vendedor remetente, em venda à ordem","input","cfop_2","normal"
"cfop_10","1120","Compra para industrialização, em venda à ordem, já recebida do vendedor remetente","Compra para industrialização, em venda à ordem, já recebida ","Classificam-se neste código as compras de mercadorias a serem utilizadas em processo de industrialização, em vendas à ordem, já recebidas do vendedor remetente, por ordem do adquirente originário.","input","cfop_2","normal"
"cfop_11","1121","Compra para comercialização, em venda à ordem, já recebida do vendedor remetente","Compra para comercialização, em venda à ordem, já recebida d","Classificam-se neste código as compras de mercadorias a serem comercializadas, em vendas à ordem, já recebidas do vendedor remetente por ordem do adquirente originário.","input","cfop_2","normal"
"cfop_12","1122","Compra para industrialização em que a mercadoria foi remetida pelo fornecedor ao industrializador sem transitar pelo estabelecimento adquirente","Compra para industrialização em que a mercadoria foi remetid","Classificam-se neste código as compras de mercadorias a serem utilizadas em processo de industrialização, remetidas pelo fornecedor para o industrializador sem que a mercadoria tenha transitado pelo estabelecimento do adquirente.","input","cfop_2","normal"
"cfop_13","1124","Industrialização efetuada por outra empresa","Industrialização efetuada por outra empresa","Classificam-se neste código as entradas de mercadorias industrializadas por terceiros, compreendendo os valores referentes aos serviços prestados e os das mercadorias de propriedade do industrializador empregadas no processo industrial. Quando a industrialização efetuada se referir a bens do ativo imobilizado ou de mercadorias para uso ou consumo do estabelecimento encomendante, a entrada deverá ser classificada nos códigos 1.551 - Compra de bem para o ativo imobilizado ou 1.556 - Compra de material para uso ou consumo.","input","cfop_2","normal"
"cfop_14","1125","Industrialização efetuada por outra empresa quando a mercadoria remetida para utilização no processo de industrialização não transitou pelo estabelecimento adquirente da mercadoria","Industrialização efetuada por outra empresa quando a mercado","Classificam-se neste código as entradas de mercadorias industrializadas por outras empresas, em que as mercadorias remetidas para utilização no processo de industrialização não transitaram pelo estabelecimento do adquirente das mercadorias, compreendendo os valores referentes aos serviços prestados e os das mercadorias de propriedade do industrializador empregadas no processo industrial. Quando a industrialização efetuada se referir a bens do ativo imobilizado ou de mercadorias para uso ou consumo do estabelecimento encomendante, a entrada deverá ser classificada nos códigos 1.551 - Compra de bem para o ativo imobilizado ou 1.556 - Compra de material para uso ou consumo.","input","cfop_2","normal"
"cfop_15","1126","Compra para utilização na prestação de serviço","Compra para utilização na prestação de serviço","Classificam-se neste código as entradas de mercadorias a serem utilizadas nas prestações de serviços.","input","cfop_2","normal"
"cfop_16","1150","TRANSFERÊNCIAS PARA INDUSTRIALIZAÇÃO, COMERCIALIZAÇÃO OU PRESTAÇÃO DE SERVIÇOS","TRANSFERÊNCIAS PARA INDUSTRIALIZAÇÃO, COMERCIALIZAÇÃO OU PRE",,"input","cfop_1","view"
"cfop_17","1151","Transferência para industrialização ou produção rural","Transferência para industrialização ou produção rural","Classificam-se neste código as entradas de mercadorias recebidas em transferência de outro estabelecimento da mesma empresa, para serem utilizadas em processo de industrialização ou produção rural.","input","cfop_16","normal"
"cfop_18","1152","Transferência para comercialização","Transferência para comercialização","Classificam-se neste código as entradas de mercadorias recebidas em transferência de outro estabelecimento da mesma empresa, para serem comercializadas.","input","cfop_16","normal"
"cfop_19","1153","Transferência de energia elétrica para distribuição","Transferência de energia elétrica para distribuição","Classificam-se neste código as entradas de energia elétrica recebida em transferência de outro estabelecimento da mesma empresa, para distribuição.","input","cfop_16","normal"
"cfop_20","1154","Transferência para utilização na prestação de serviço","Transferência para utilização na prestação de serviço","Classificam-se neste código as entradas de mercadorias recebidas em transferência de outro estabelecimento da mesma empresa, para serem utilizadas nas prestações de serviços.","input","cfop_16","normal"
"cfop_21","1200","DEVOLUÇÕES DE VENDAS DE PRODUÇÃO PRÓPRIA, DE TERCEIROS OU ANULAÇÕES DE VALORES","DEVOLUÇÕES DE VENDAS DE PRODUÇÃO PRÓPRIA, DE TERCEIROS OU AN",,"input","cfop_1","view"
"cfop_22","1201","Devolução de venda de produção do estabelecimento","Devolução de venda de produção do estabelecimento","Classificam-se neste código as devoluções de vendas de mercadorias adquiridas ou recebidas de terceiros, que não tenham sido objeto de industrialização no estabelecimento, cujas saídas tenham sido classificadas como Venda de mercadoria adquirida ou recebida de terceiros","input","cfop_21","normal"
"cfop_23","1202","Devolução de venda de mercadoria adquirida ou recebida de terceiros","Devolução de venda de mercadoria adquirida ou recebida de te","Classificam-se neste código as devoluções de vendas de mercadorias adquiridas ou recebidas de terceiros, que não tenham sido objeto de industrialização no estabelecimento, cujas saídas tenham sido classificadas como Venda de mercadoria adquirida ou recebida de terceiros","input","cfop_21","normal"
"cfop_24","1203","Devolução de venda de produção do estabelecimento, destinada à Zona Franca de Manaus ou Áreas de Livre Comércio","Devolução de venda de produção do estabelecimento, destinada","Classificam-se neste código as devoluções de vendas de produtos industrializados ou produzidos pelo próprio estabelecimento, cujas saídas foram classificadas no código 5.109  Venda de produção do estabelecimento, destinada à Zona Franca de Manaus ou Áreas de Livre Comércio","input","cfop_21","normal"
"cfop_25","1204","Devolução de venda de mercadoria adquirida ou recebida de terceiros, destinada à Zona Franca de Manaus ou Áreas de Livre Comércio","Devolução de venda de mercadoria adquirida ou recebida de te","Classificam-se neste código as devoluções de vendas de mercadorias adquiridas ou recebidas de terceiros, cujas saídas foram classificadas no código 5.110 - Venda de mercadoria adquirida ou recebida de terceiros, destinada à Zona Franca de Manaus ou Áreas de Livre Comércio","input","cfop_21","normal"
