id,code_prefix_start,name,parent_id
coa_simple_1,1,Ativo,
coa_simple_11,1.1,Ativo Circulante,coa_simple_1
coa_simple_111,1.1.1,Disponibilidades,coa_simple_11
coa_simple_11101,1.1.1.01,Caixa,coa_simple_111
coa_simple_11102,1.1.1.02,Depósitos Bancários à Vista,coa_simple_111
coa_simple_11103,1.1.1.03,Aplicações Financeiras,coa_simple_111
coa_simple_112,1.1.2,Créditos,coa_simple_11
coa_simple_11201,1.1.2.01,Recebíveis de clientes,coa_simple_112
coa_simple_11202,1.1.2.02,Créditos de Colaboradores,coa_simple_112
coa_simple_11203,1.1.2.03,Créditos de Fornecedores,coa_simple_112
coa_simple_11204,1.1.2.04,Tributos Retidos na Fonte,coa_simple_112
coa_simple_11205,1.1.2.05,Tributos a Recuperar,coa_simple_112
coa_simple_11206,1.1.2.06,Tributos a Compensar,coa_simple_112
coa_simple_113,1.1.3,Estoques,coa_simple_11
coa_simple_11301,1.1.3.01,Estoques de Mercadorias,coa_simple_113
coa_simple_11302,1.1.3.02,Estoques de Produtos,coa_simple_113
coa_simple_11303,1.1.3.03,Outros Estoques,coa_simple_113
coa_simple_114,1.1.4,Despesas Pagas Antecipadamente,coa_simple_11
coa_simple_11401,1.1.4.01,Despesas do Exercício Seguinte,coa_simple_114
coa_simple_12,1.2,Ativo Não Circulante,coa_simple_1
coa_simple_121,1.2.1,Realizável a Longo Prazo,coa_simple_12
coa_simple_12101,1.2.1.01,Créditos de Longo Prazo,coa_simple_121
coa_simple_12102,1.2.1.02,Ativos Fiscais Diferidos,coa_simple_121
coa_simple_122,1.2.2,Investimentos,coa_simple_12
coa_simple_12201,1.2.2.01,Investimentos Societários,coa_simple_122
coa_simple_123,1.2.3,Imobilizado,coa_simple_12
coa_simple_12301,1.2.3.01,Imobilizado - Aquisição,coa_simple_123
coa_simple_12302,1.2.3.02,Imobilizado - Depreciação Acumulada,coa_simple_123
coa_simple_124,1.2.4,Intangível,coa_simple_12
coa_simple_12401,1.2.4.01,Intangível - Aquisição,coa_simple_124
coa_simple_12402,1.2.4.02,Intangível - Amortização,coa_simple_124
coa_simple_2,2,Passivo,
coa_simple_21,2.1,Passivo Circulante,coa_simple_2
coa_simple_211,2.1.1,Obrigações Trabalhistas,coa_simple_21
coa_simple_21101,2.1.1.01,Obrigações com Pessoal,coa_simple_211
coa_simple_212,2.1.2,Obrigações com Terceiros,coa_simple_21
coa_simple_21201,2.1.2.01,Fornecedores,coa_simple_212
coa_simple_21202,2.1.2.02,Contas a Pagar,coa_simple_212
coa_simple_213,2.1.3,Empréstimos e Financiamentos (CP),coa_simple_21
coa_simple_21301,2.1.3.01,Empréstimos de Terceiros,coa_simple_213
coa_simple_214,2.1.4,Obrigações Fiscais,coa_simple_21
coa_simple_21401,2.1.4.01,Retenções a Recolher,coa_simple_214
coa_simple_21402,2.1.4.02,Impostos a Pagar,coa_simple_214
coa_simple_21403,2.1.4.03,Parcelamentos Fiscais,coa_simple_214
coa_simple_215,2.1.5,Provisões,coa_simple_21
coa_simple_21501,2.1.5.01,Provisões Tributárias,coa_simple_215
coa_simple_216,2.1.6,Outras Obrigações,coa_simple_21
coa_simple_21601,2.1.6.01,Obrigações com Sócios,coa_simple_216
coa_simple_22,2.2,Passivo Não Circulante,coa_simple_2
coa_simple_221,2.2.1,Obrigações com Terceiros LP,coa_simple_22
coa_simple_22101,2.2.1.01,Fornecedores LP,coa_simple_221
coa_simple_22102,2.2.1.02,Empréstimos e Financiamentos LP,coa_simple_221
coa_simple_222,2.2.2,Obrigações Fiscais (LP),coa_simple_22
coa_simple_22201,2.2.2.01,Parcelamentos Fiscais (LP),coa_simple_222
