"id","code","exception","name","tax_ipi_id:id","tax_ii_id:id","uoe_id:id"
"ncm_00000000","0000.00.00",,"Sem NCM",,,
"ncm_01012100","0101.21.00",,"Cavalos, asininos e muares, vivos. Cavalos: Reprodutores de raça pura","tax_ipi_nt","tax_ii_0","uom.product_uom_unit"
"ncm_01012900","0101.29.00",,"Cavalos, asininos e muares, vivos. Cavalos: Outros","tax_ipi_nt","tax_ii_2","uom.product_uom_unit"
"ncm_01013000","0101.30.00",,"Cavalos, asininos e muares, vivos. Asininos","tax_ipi_nt","tax_ii_4","uom.product_uom_unit"
"ncm_01019000","0101.90.00",,"Cavalos, asininos e muares, vivos. Outros","tax_ipi_nt","tax_ii_4","uom.product_uom_unit"
"ncm_01022110","0102.21.10",,"Animais vivos da espécie bovina. Bovinos domésticos: Reprodutores de raça pura","tax_ipi_nt","tax_ii_0","uom.product_uom_unit"
"ncm_01022190","0102.21.90",,"Animais vivos da espécie bovina. Bovinos domésticos: Reprodutores de raça pura","tax_ipi_nt","tax_ii_0","uom.product_uom_unit"
"ncm_01022911","0102.29.11",,"Animais vivos da espécie bovina. Bovinos domésticos: Outros Para reprodução","tax_ipi_nt","tax_ii_2","uom.product_uom_unit"
"ncm_01022919","0102.29.19",,"Animais vivos da espécie bovina. Bovinos domésticos: Outros Para reprodução","tax_ipi_nt","tax_ii_2","uom.product_uom_unit"
"ncm_01022990","0102.29.90",,"Animais vivos da espécie bovina. Bovinos domésticos: Outros","tax_ipi_nt","tax_ii_2","uom.product_uom_unit"
"ncm_01023110","0102.31.10",,"Animais vivos da espécie bovina. Búfalos: Reprodutores de raça pura","tax_ipi_nt","tax_ii_0","uom.product_uom_unit"
"ncm_01023190","0102.31.90",,"Animais vivos da espécie bovina. Búfalos: Reprodutores de raça pura","tax_ipi_nt","tax_ii_0","uom.product_uom_unit"
"ncm_01023911","0102.39.11",,"Animais vivos da espécie bovina. Búfalos: Outros Para reprodução","tax_ipi_nt","tax_ii_2","uom.product_uom_unit"
"ncm_01023919","0102.39.19",,"Animais vivos da espécie bovina. Búfalos: Outros Para reprodução","tax_ipi_nt","tax_ii_2","uom.product_uom_unit"
"ncm_01023990","0102.39.90",,"Animais vivos da espécie bovina. Búfalos: Outros","tax_ipi_nt","tax_ii_2","uom.product_uom_unit"
"ncm_01029000","0102.90.00",,"Animais vivos da espécie bovina. Outros","tax_ipi_nt","tax_ii_0","uom.product_uom_unit"
