"id","name","ibge_code","state_id:id"
"city_1100015","Alta Floresta D'Oeste","00015","base.state_br_ro"
"city_1100106","Guajará-Mirim","00106","base.state_br_ro"
"city_1301704","Humaitá","01704","base.state_br_am"
"city_2308302","Milagres","08302","base.state_br_ce"
"city_2308351","Milhã","08351","base.state_br_ce"
"city_2308377","Miraíma","08377","base.state_br_ce"
"city_2308401","Missão Velha","08401","base.state_br_ce"
"city_2308500","Mombaça","08500","base.state_br_ce"
"city_2308609","Monsenhor Tabosa","08609","base.state_br_ce"
"city_2308708","Morada Nova","08708","base.state_br_ce"
"city_2308807","Moraújo","08807","base.state_br_ce"
"city_2308906","Morrinhos","08906","base.state_br_ce"
"city_2309003","Mucambo","09003","base.state_br_ce"
"city_1301803","Ipixuna","01803","base.state_br_am"
"city_2309102","Mulungu","09102","base.state_br_ce"
"city_2309201","Nova Olinda","09201","base.state_br_ce"
"city_2309300","Nova Russas","09300","base.state_br_ce"
"city_2309409","Novo Oriente","09409","base.state_br_ce"
"city_2309458","Ocara","09458","base.state_br_ce"
"city_2309508","Orós","09508","base.state_br_ce"
"city_2309607","Pacajus","09607","base.state_br_ce"
"city_2309706","Pacatuba","09706","base.state_br_ce"
"city_2309805","Pacoti","09805","base.state_br_ce"
"city_2309904","Pacujá","09904","base.state_br_ce"
"city_1301852","Iranduba","01852","base.state_br_am"
"city_2310001","Palhano","10001","base.state_br_ce"
"city_2310100","Palmácia","10100","base.state_br_ce"
"city_2310209","Paracuru","10209","base.state_br_ce"
"city_2310258","Paraipaba","10258","base.state_br_ce"
"city_2310308","Parambu","10308","base.state_br_ce"
"city_2310407","Paramoti","10407","base.state_br_ce"
"city_2310506","Pedra Branca","10506","base.state_br_ce"
"city_2310605","Penaforte","10605","base.state_br_ce"
"city_2310704","Pentecoste","10704","base.state_br_ce"
"city_2310803","Pereiro","10803","base.state_br_ce"
"city_1301902","Itacoatiara","01902","base.state_br_am"
"city_2310852","Pindoretama","10852","base.state_br_ce"
"city_2310902","Piquet Carneiro","10902","base.state_br_ce"
"city_2310951","Pires Ferreira","10951","base.state_br_ce"
"city_2311009","Poranga","11009","base.state_br_ce"
"city_2311108","Porteiras","11108","base.state_br_ce"
"city_2311207","Potengi","11207","base.state_br_ce"
"city_2311231","Potiretama","11231","base.state_br_ce"
"city_2311264","Quiterianópolis","11264","base.state_br_ce"
"city_2311306","Quixadá","11306","base.state_br_ce"
"city_2311355","Quixelô","11355","base.state_br_ce"
"city_1301951","Itamarati","01951","base.state_br_am"
"city_2311405","Quixeramobim","11405","base.state_br_ce"
"city_2311504","Quixeré","11504","base.state_br_ce"
"city_2311603","Redenção","11603","base.state_br_ce"
"city_2311702","Reriutaba","11702","base.state_br_ce"
"city_2311801","Russas","11801","base.state_br_ce"
"city_2311900","Saboeiro","11900","base.state_br_ce"
"city_2311959","Salitre","11959","base.state_br_ce"
"city_2312007","Santana do Acaraú","12007","base.state_br_ce"
"city_2312106","Santana do Cariri","12106","base.state_br_ce"
"city_2312205","Santa Quitéria","12205","base.state_br_ce"
"city_1302009","Itapiranga","02009","base.state_br_am"
"city_2312304","São Benedito","12304","base.state_br_ce"
"city_2312403","São Gonçalo do Amarante","12403","base.state_br_ce"
"city_2312502","São João do Jaguaribe","12502","base.state_br_ce"
"city_2312601","São Luís do Curu","12601","base.state_br_ce"
"city_2312700","Senador Pompeu","12700","base.state_br_ce"
"city_2312809","Senador Sá","12809","base.state_br_ce"
"city_2312908","Sobral","12908","base.state_br_ce"
"city_2313005","Solonópole","13005","base.state_br_ce"
"city_2313104","Tabuleiro do Norte","13104","base.state_br_ce"
"city_2313203","Tamboril","13203","base.state_br_ce"
"city_1302108","Japurá","02108","base.state_br_am"
"city_2313252","Tarrafas","13252","base.state_br_ce"
"city_2313302","Tauá","13302","base.state_br_ce"
"city_2313351","Tejuçuoca","13351","base.state_br_ce"
"city_2313401","Tianguá","13401","base.state_br_ce"
"city_2313500","Trairi","13500","base.state_br_ce"
"city_2313559","Tururu","13559","base.state_br_ce"
"city_2313609","Ubajara","13609","base.state_br_ce"
"city_2313708","Umari","13708","base.state_br_ce"
"city_2313757","Umirim","13757","base.state_br_ce"
"city_2313807","Uruburetama","13807","base.state_br_ce"
"city_1302207","Juruá","02207","base.state_br_am"
"city_2313906","Uruoca","13906","base.state_br_ce"
"city_2313955","Varjota","13955","base.state_br_ce"
"city_2314003","Várzea Alegre","14003","base.state_br_ce"
"city_2314102","Viçosa do Ceará","14102","base.state_br_ce"
"city_2400109","Acari","00109","base.state_br_rn"
"city_2400208","Açu","00208","base.state_br_rn"
"city_2400307","Afonso Bezerra","00307","base.state_br_rn"
"city_2400406","Água Nova","00406","base.state_br_rn"
"city_2400505","Alexandria","00505","base.state_br_rn"
"city_2400604","Almino Afonso","00604","base.state_br_rn"
"city_1302306","Jutaí","02306","base.state_br_am"
"city_2400703","Alto do Rodrigues","00703","base.state_br_rn"
