"id","name","cnab_line_id/id"
"l10n_br_cnab_structure.cnab_line_field_group_1","Conta Corrente - Mesmo Banco","l10n_br_cnab_structure.cnab_itau_240_pagamentos_segmento_a"
"l10n_br_cnab_structure.cnab_line_field_group_2","Conta Corrente - Outros Bancos","l10n_br_cnab_structure.cnab_itau_240_pagamentos_segmento_a"
"l10n_br_cnab_structure.cnab_line_field_group_3","Conta Pagamento - Outros Bancos","l10n_br_cnab_structure.cnab_itau_240_pagamentos_segmento_a"
"l10n_br_cnab_structure.cnab_line_field_group_4","Conta Corrente - Chave PIX","l10n_br_cnab_structure.cnab_itau_240_pagamentos_segmento_a"
"l10n_br_cnab_structure.cnab_line_field_group_1_bb","Conta Corrente - Mesmo Banco","l10n_br_cnab_structure.cnab_bb_240_pagamentos_segmento_a"
"l10n_br_cnab_structure.cnab_line_field_group_2_bb","Conta Corrente - Outros Bancos","l10n_br_cnab_structure.cnab_bb_240_pagamentos_segmento_a"
"l10n_br_cnab_structure.cnab_line_field_group_3_bb","Conta Pagamento - Outros Bancos","l10n_br_cnab_structure.cnab_bb_240_pagamentos_segmento_a"
"l10n_br_cnab_structure.cnab_line_field_group_4_bb","Conta Corrente - Chave PIX","l10n_br_cnab_structure.cnab_bb_240_pagamentos_segmento_a"
"l10n_br_cnab_structure.cnab_line_field_group_1_santander","Conta Corrente - Mesmo Banco","l10n_br_cnab_structure.cnab_santander_240_pagamentos_segmento_a"
"l10n_br_cnab_structure.cnab_line_field_group_2_santander","Conta Corrente - Outros Bancos","l10n_br_cnab_structure.cnab_santander_240_pagamentos_segmento_a"
"l10n_br_cnab_structure.cnab_line_field_group_3_santander","Conta Pagamento - Outros Bancos","l10n_br_cnab_structure.cnab_santander_240_pagamentos_segmento_a"
"l10n_br_cnab_structure.cnab_line_field_group_4_santander","Conta Corrente - Chave PIX","l10n_br_cnab_structure.cnab_santander_240_pagamentos_segmento_a"
"l10n_br_cnab_structure.cnab_line_field_group_1_sicoob","Conta Corrente - Mesmo Banco","l10n_br_cnab_structure.cnab_sicoob_240_pagamentos_segmento_a"
"l10n_br_cnab_structure.cnab_line_field_group_2_sicoob","Conta Corrente - Outros Bancos","l10n_br_cnab_structure.cnab_sicoob_240_pagamentos_segmento_a"
"l10n_br_cnab_structure.cnab_line_field_group_3_sicoob","Conta Pagamento - Outros Bancos","l10n_br_cnab_structure.cnab_sicoob_240_pagamentos_segmento_a"
"l10n_br_cnab_structure.cnab_line_field_group_4_sicoob","Conta Corrente - Chave PIX","l10n_br_cnab_structure.cnab_sicoob_240_pagamentos_segmento_a"
