"id","code","name","type","parent_id:id"
"ncm_1","1","Capítulo 1 – Animais Vivos","view",
"ncm_0101","01.01","Cavalos, asininos e muares, vivos.","view",
"ncm_01012","0101.2","Cavalos:","view","ncm_0101"
"ncm_01012100","0101.21.00","Reprodutores de raça pura","normal","ncm_01012"
"ncm_01012900","0101.29.00","Outros","normal","ncm_01012"
"ncm_01013000","0101.30.00","Asininos","normal","ncm_0101"
"ncm_01019000","0101.90.00","Outros","normal","ncm_0101"
"ncm_0102","01.02","Animais vivos da espécie bovina.","view",
"ncm_01022","0102.2","Bovinos domésticos:","view","ncm_0102"
"ncm_010221","0102.21","Reprodutores de raça pura","view","ncm_01022"
"ncm_01022110","0102.21.10","Prenhes ou com cria ao pé","normal","ncm_010221"
"ncm_01022190","0102.21.90","Outros","normal","ncm_010221"
"ncm_010229","0102.29","Outros","view","ncm_01022"
"ncm_0102291","0102.29.1","Para reprodução","view","ncm_010229"
"ncm_01022911","0102.29.11","Prenhes ou com cria ao pé","normal","ncm_0102291"
"ncm_01022919","0102.29.19","Outros","normal","ncm_0102291"
"ncm_01022990","0102.29.90","Outros","normal","ncm_0102291"
"ncm_01023","0102.3","Búfalos:","view","ncm_0102"
"ncm_010231","0102.31","Reprodutores de raça pura","view","ncm_01023"
"ncm_01023110","0102.31.10","Prenhes ou com cria ao pé","normal","ncm_010231"
"ncm_01023190","0102.31.90","Outros","normal","ncm_010231"
"ncm_010239","0102.39","Outros","view","ncm_01023"
"ncm_0102391","0102.39.1","Para reprodução","view","ncm_010239"
"ncm_01023911","0102.39.11","Prenhes ou com cria ao pé","normal","ncm_0102391"
"ncm_01023919","0102.39.19","Outros","normal","ncm_0102391"
"ncm_01023990","0102.39.90","Outros","normal","ncm_0102391"
"ncm_01029000","0102.90.00","Outros","normal","ncm_0102391"
"ncm_0103","01.03","Animais vivos da espécie suína.","view",
"ncm_01031000","0103.10.00","Reprodutores de raça pura","normal","ncm_0103"
"ncm_01039","0103.9","Outros:","view","ncm_0103"
"ncm_01039100","0103.91.00","De peso inferior a 50 kg","normal","ncm_01039"
"ncm_01039200","0103.92.00","De peso igual ou superior a 50 kg","normal","ncm_01039"
"ncm_0104","01.04","Animais vivos das espécies ovina e caprina.","view",
"ncm_010410","0104.10","Ovinos","view","ncm_0104"
"ncm_0104101","0104.10.1","Reprodutores de raça pura","view","ncm_010410"
"ncm_01041011","0104.10.11","Prenhes ou com cria ao pé","normal","ncm_0104101"
"ncm_01041019","0104.10.19","Outros","normal","ncm_0104101"
"ncm_01041090","0104.10.90","Outros","normal","ncm_010410"
"ncm_010420","0104.20","Caprinos","view","ncm_0104"
"ncm_01042010","0104.20.10","Reprodutores de raça pura","normal","ncm_010420"
"ncm_01042090","0104.20.90","Outros","normal","ncm_010420"
"ncm_0105","01.05","Galos, galinhas, patos, gansos, perus, peruas e galinhas-d'angola (pintadas), das espécies domésticas, vivos.","view",
