"id","code","segment","item","name"
"cest_100100","01.001.00","01. Autopeças","1.0","Catalisadores em colmeia cerâmica ou metálica para conversão catalítica de gases de escape de veículos e outros catalisadores"
"cest_100100","01.001.00","01. Autopeças","1.0","Catalisadores em colmeia cerâmica ou metálica para conversão catalítica de gases de escape de veículos e outros catalisadores"
"cest_100200","01.002.00","01. Autopeças","2.0","Tubos e seus acessórios (por exemplo, juntas, cotovelos, flanges, uniões), de plásticos"
"cest_100300","01.003.00","01. Autopeças","3.0","Protetores de caçamba"
"cest_100400","01.004.00","01. Autopeças","4.0","Reservatórios de óleo"
"cest_100500","01.005.00","01. Autopeças","5.0","Frisos, decalques, molduras e acabamentos"
"cest_100600","01.006.00","01. Autopeças","6.0","Correias de transmissão de borracha vulcanizada, de matérias têxteis, mesmo impregnadas, revestidas ou recobertas, de plástico, ou estratificadas com plástico ou reforçadas com metal ou com outras matérias"
"cest_100600","01.006.00","01. Autopeças","6.0","Correias de transmissão de borracha vulcanizada, de matérias têxteis, mesmo impregnadas, revestidas ou recobertas, de plástico, ou estratificadas com plástico ou reforçadas com metal ou com outras matérias"
"cest_100700","01.007.00","01. Autopeças","7.0","Juntas, gaxetas e outros elementos com função semelhante de vedação"
"cest_100700","01.007.00","01. Autopeças","7.0","Juntas, gaxetas e outros elementos com função semelhante de vedação"
"cest_100800","01.008.00","01. Autopeças","8.0","Partes de veículos automóveis, tratores e máquinas autopropulsadas"
"cest_100900","01.009.00","01. Autopeças","9.0","Tapetes, revestimentos, mesmo confeccionados, batentes, buchas e coxins"
"cest_100900","01.009.00","01. Autopeças","9.0","Tapetes, revestimentos, mesmo confeccionados, batentes, buchas e coxins"
"cest_101000","01.010.00","01. Autopeças","10.0","Tecidos impregnados, revestidos, recobertos ou estratificados, com plástico"
"cest_101100","01.011.00","01. Autopeças","11.0","Mangueiras e tubos semelhantes, de matérias têxteis, mesmo com reforço ou acessórios de outras matérias"
"cest_101200","01.012.00","01. Autopeças","12.0","Encerados e toldos"
"cest_101300","01.013.00","01. Autopeças","13.0","Capacetes e artefatos de uso semelhante, de proteção, para uso em motocicletas, incluídos ciclomotores"
"cest_101400","01.014.00","01. Autopeças","14.0","Guarnições de fricção (por exemplo, placas, rolos, tiras, segmentos, discos, anéis, pastilhas), não montadas, para freios, embreagens ou qualquer outro mecanismo de fricção, à base de amianto, de outras substâncias minerais ou de celulose, mesmo combinadas com têxteis ou outras matérias"
"cest_101500","01.015.00","01. Autopeças","15.0","Vidros de dimensões e formatos que permitam aplicação automotiva"
"cest_101500","01.015.00","01. Autopeças","15.0","Vidros de dimensões e formatos que permitam aplicação automotiva"
"cest_101600","01.016.00","01. Autopeças","16.0","Espelhos retrovisores"
"cest_101700","01.017.00","01. Autopeças","17.0","Lentes de faróis, lanternas e outros utensílios"
"cest_101800","01.018.00","01. Autopeças","18.0","Cilindro de aço para GNV (gás natural veicular)"
"cest_101900","01.019.00","01. Autopeças","19.0","Recipientes para gases comprimidos ou liquefeitos, de ferro fundido, ferro ou aço, exceto o descrito no item 18.0"
"cest_102000","01.020.00","01. Autopeças","20.0","Molas e folhas de molas, de ferro ou aço"
"cest_102100","01.021.00","01. Autopeças","21.0","Obras moldadas, de ferro fundido, ferro ou aço, exceto as do código 7325.91.00"
"cest_102200","01.022.00","01. Autopeças","22.0","Peso de chumbo para balanceamento de roda"
"cest_102300","01.023.00","01. Autopeças","23.0","Peso para balanceamento de roda e outros utensílios de estanho"
"cest_102400","01.024.00","01. Autopeças","24.0","Fechaduras e partes de fechaduras"
"cest_102400","01.024.00","01. Autopeças","24.0","Fechaduras e partes de fechaduras"
"cest_102500","01.025.00","01. Autopeças","25.0","Chaves apresentadas isoladamente"
"cest_102600","01.026.00","01. Autopeças","26.0","Dobradiças, guarnições, ferragens e artigos semelhantes de metais comuns"
"cest_102600","01.026.00","01. Autopeças","26.0","Dobradiças, guarnições, ferragens e artigos semelhantes de metais comuns"
"cest_102700","01.027.00","01. Autopeças","27.0","Triângulo de segurança"
"cest_102800","01.028.00","01. Autopeças","28.0","Motores de pistão alternativo dos tipos utilizados para propulsão de veículos do Capítulo 87"
"cest_102900","01.029.00","01. Autopeças","29.0","Motores dos tipos utilizados para propulsão de veículos automotores"
"cest_103000","01.030.00","01. Autopeças","30.0","Partes reconhecíveis como exclusiva ou principalmente destinadas aos motores das posições 8407 ou 8408"
"cest_103100","01.031.00","01. Autopeças","31.0","Motores hidráulicos"
"cest_103200","01.032.00","01. Autopeças","32.0","Bombas para combustíveis, lubrificantes ou líquidos de arrefecimento, próprias para motores de ignição por centelha ou por compressão"
"cest_103300","01.033.00","01. Autopeças","33.0","Bombas de vácuo"
"cest_103400","01.034.00","01. Autopeças","34.0","Compressores e turbocompressores de ar"
"cest_103400","01.034.00","01. Autopeças","34.0","Compressores e turbocompressores de ar"
"cest_103500","01.035.00","01. Autopeças","35.0","Partes das bombas, compressores e turbocompressores dos CEST 01.032.00, 01.033.00 e 01.034.00"
"cest_103500","01.035.00","01. Autopeças","35.0","Partes das bombas, compressores e turbocompressores dos CEST 01.032.00, 01.033.00 e 01.034.00"
"cest_103500","01.035.00","01. Autopeças","35.0","Partes das bombas, compressores e turbocompressores dos CEST 01.032.00, 01.033.00 e 01.034.00"
"cest_103500","01.035.00","01. Autopeças","35.0","Partes das bombas, compressores e turbocompressores dos CEST 01.032.00, 01.033.00 e 01.034.00"
"cest_103600","01.036.00","01. Autopeças","36.0","Máquinas e aparelhos de ar condicionado"
"cest_103700","01.037.00","01. Autopeças","37.0","Aparelhos para filtrar óleos minerais nos motores de ignição por centelha ou por compressão"
"cest_103800","01.038.00","01. Autopeças","38.0","Filtros a vácuo"
"cest_103900","01.039.00","01. Autopeças","39.0","Partes dos aparelhos para filtrar ou depurar líquidos ou gases"
"cest_104000","01.040.00","01. Autopeças","40.0","Extintores, mesmo carregados"
"cest_104100","01.041.00","01. Autopeças","41.0","Filtros de entrada de ar para motores de ignição por centelha ou por compressão"
"cest_104200","01.042.00","01. Autopeças","42.0","Depuradores por conversão catalítica de gases de escape"
"cest_104300","01.043.00","01. Autopeças","43.0","Macacos"
"cest_104400","01.044.00","01. Autopeças","44.0","Partes para macacos do CEST 01.043.00"
"cest_104500","01.045.00","01. Autopeças","45.0","Partes reconhecíveis como exclusiva ou principalmente destinadas às máquinas agrícolas ou rodoviárias"
"cest_104501","01.045.01","01. Autopeças","45.1","Partes reconhecíveis como exclusiva ou principalmente destinadas às máquinas agrícolas ou rodoviárias"
"cest_104600","01.046.00","01. Autopeças","46.0","Válvulas redutoras de pressão"
"cest_104700","01.047.00","01. Autopeças","47.0","Válvulas para transmissão óleo-hidráulicas ou pneumáticas"
"cest_104800","01.048.00","01. Autopeças","48.0","Válvulas solenóides"
"cest_104900","01.049.00","01. Autopeças","49.0","Rolamentos"
"cest_105000","01.050.00","01. Autopeças","50.0","Árvores de transmissão (incluídas as árvores de ""cames""e virabrequins) e manivelas; mancais e ""bronzes""; engrenagens e rodas de fricção; eixos de esferas ou de roletes; redutores, multiplicadores, caixas de transmissão e variadores de velocidade, incluídos os conversores de torque; volantes e polias, incluídas as polias para cadernais; embreagens e dispositivos de acoplamento, incluídas as juntas de articulação"
"cest_105100","01.051.00","01. Autopeças","51.0","Juntas metaloplásticas; jogos ou sortidos de juntas de composições diferentes, apresentados em bolsas, envelopes ou embalagens semelhantes; juntas de vedação mecânicas (selos mecânicos)"
